Easy
157. Read N Characters Given Read4
170. Two Sum III - Data structure design

Medium
156. Binary Tree Upside Down
161. One Edit Distance
163. Missing Ranges
167. Two Sum II - Input array is sorted
186. Reverse Words in a String II

Hard
158 Read N Characters Given Read4 II - Call multiple times
159. Longest Substring with At Most Two Distinct Characters

214 Shortest Palindrome  19.1% Hard 
213 House Robber II  29.8% Medium 
212 Word Search II  18.6% Hard 
211 Add and Search Word - Data structure design  20.2% Medium 
210 Course Schedule II  20.8% Medium 
209 Minimum Size Subarray Sum  26.3% Medium 
208 Implement Trie (Prefix Tree)  25.3% Medium 
207 Course Schedule  26.2% Medium 
206 Reverse Linked List  38.5% Easy 
205 Isomorphic Strings  28.9% Easy 
204 Count Primes  23.6% Easy 
203 Remove Linked List Elements  28.0% Easy 
202 Happy Number  35.8% Easy 
201 Bitwise AND of Numbers Range  29.6% Medium 
200 Number of Islands  27.0% Medium 
199 Binary Tree Right Side View  33.4% Medium 
198 House Robber  33.4% Easy 
191 Number of 1 Bits  37.6% Easy 
190 Reverse Bits  29.1% Easy 
189 Rotate Array  20.6% Easy 
